date,hour,min,subj
2014-08-04,14,48,[FreeFood] Subway sandwiches
2014-08-09,16,2,[FreeFood] Indian food
2014-08-31,8,37,[FreeFood] Breakfast food
2014-09-05,14,59,[FreeFood] Dinner food in front of Dillon gym
2014-09-05,16,28,[FreeFood] 2 boxes pizza and diet coke with cups
2014-09-06,15,40,[FreeFood] papa john's pizza in Dod kitchen
2014-09-06,19,13,[FreeFood] Barely touched coffee
2014-09-09,8,21,[FreeFood] Free BBQ, Pizza, and more at Fields Center today!
2014-09-09,11,33,[FreeFood] free unopened bag of spinach tortillas in SPOON 203
2014-09-11,18,17,[FreeFood] Panera sandwiches in Lewis 120!
2014-09-12,16,9,[FreeFood] FREE CHINESE FOOD CAMPUS CLUB
2014-09-13,21,56,[FreeFood] Pizza in Dodd basement
2014-09-14,19,43,[FreeFood] Pizza in Campus Club
2014-09-15,15,51,[FreeFood] Food in Wu Cafe
2014-09-15,16,48,[FreeFood] Pasta in Murray dodge
2014-09-16,18,3,[FreeFood] Ice Cream outside Frist 302
2014-09-16,19,36,[FreeFood] Pizza in Whitman Common Room!
2014-09-17,10,6,[FreeFood] Sandwiches in Dod kitchen
2014-09-17,15,15,[FreeFood] Soul Food in Murray Dodge.
2014-09-17,19,39,[FreeFood] Pizza & Deserts in Campus Club
2014-09-18,16,3,[FreeFood] Sandwiches in Marx 101
2014-09-19,12,25,[FreeFood] Pretzels, Muffins, Cookies, Sandwiches NOW at Career Services!
2014-09-19,13,22,[FreeFood] Wraps, Chicken & Salad in the Rainbow Lounge in Frist
2014-09-20,5,17,[FreeFood] FREE BAGELS AT...
2014-09-20,7,26,[FreeFood] Bagels in Frist
2014-09-20,17,20,[FreeFood] Bagels & sandwiches
2014-09-21,11,25,[FreeFood] [Free Food] Pizza and Cookies in McGraw
2014-09-21,17,19,[FreeFood] More sammiches
2014-09-22,16,35,[FreeFood] PIZZA!
2014-09-24,11,11,[FreeFood] Chicken, beef, hummus, pita, rice
2014-09-24,18,4,[FreeFood] Cookies in holder 4b
2014-09-24,18,52,[FreeFood] 3 pizzas in frist tv lounge
2014-09-25,10,13,[FreeFood] Apples and honey in the Mathey common room
2014-09-25,10,46,[FreeFood] Sandwiches at campus club
2014-09-25,17,29,[FreeFood] Sandwiches at Butler College '42 Lounge
2014-09-25,17,57,[FreeFood] Lotza pizza
2014-09-26,11,48,[FreeFood] Wraps and Salad in the Rainbow Lounge
2014-09-26,15,15,[FreeFood] fancy pizza in the lobby of the Lewis Center (185 Nassau)
2014-09-26,18,0,[FreeFood] Froyo, Bubble Tea, and Pizza for the OWYT Study Break
2014-09-26,18,38,[FreeFood] Pasta, Caesar salad and hors d'oeuvres in front of East Pyne 10!
2014-09-26,18,38,[FreeFood] Pasta, Caesar salad and hors d'oeuvres in front of East Pyne 10!
2014-09-28,9,31,[FreeFood] Hummus, pita, veggies, bread, bagels... Friend near 101
2014-09-28,11,6,[FreeFood] Sandwiches and cookies in front of McGraw
2014-09-28,11,31,[FreeFood] Bagels + a few sandwiches in Campus Club dining room
